	 К основным признакам предприятия не относитсяОТВЕТорганизационная обособленность
	 Какие расходы учитываются при определении прибыли от реализации продукцииОТВЕТобщепроизводственные расходы
	 Маржинальная прибыль  это разность междуОТВЕТвыручкой и переменными затратами
	 Что включает понятие «валовая прибыль предприятия»ОТВЕТприбыль от реализации продукции результат от прочей реализации доходы от внереализационных операций расходы и убытки от внереализационных операций
	 Затраты на производство единицы продукции в части условнопеременных расходов  тыс руб цена реализации единицы продукции  тыс руб общая сумма условнопостоянных расходов  тыс руб Минимальный объем продукции необходимый для вступления предприятия в зону прибыльностиОТВЕТ единиц
	 Чистая прибыль  это разность междуОТВЕТвыручкой и суммой текущих затрат налогов и процентов верно
	 Себестоимость единицы продукции составляет  руб рентабельность затрат  Определить цену единицы изделия Ответ указать в рубляхОТВЕТ
	 Валовая прибыль исчисляется какОТВЕТвсе ответы верны
	 Определите годовой безубыточный объем производства продукции если известно что переменные затраты на единицу продукции составляют  рубшт годовые постоянные затраты –   руб цена единицы продукции –  рубшт Ответ указать в штукахОТВЕТ
	 Точка безубыточно сти равна  изделий  При реализации продукци и по цене  руб на сумму   рубОТВЕТпредприятие получит убыток
	 Разница между результатом экономической деятельности и затратами на получение и использование этого результата – этоОТВЕТразность между результатами и затратами измеряемая в деньгах
	 Результативность экономической системы выражающаяся в отношении полезных конечных результатов её функционирования к затраченным ресурсам – этоОТВЕТэкономическая эффективность
	 Можно ли показатель представляющий собой отношение прибыли к средней за год сумме оборотных средств считать показателем рентабельностиОТВЕТда по такому принципу рассчитываются все показатели рентабельности верно
	 Какой показатель определяет степень доходности эффективности предприятияОТВЕТрентабельность производства
	 Прибыль от реализации продукции – этоОТВЕТразность между объемом реализованной продукции в стоимостном выражении и ее себестоимостью
	 В расчете рентабельности производства участвуют показателиОТВЕТприбыли и полной себестоимости
	 Точка безубыточности равна  изделий При реализации продукции по цене  руб на сумму  рубОТВЕТвыручка полностью покроет затраты
	 Отношение прибыли к выручке от реализации продукции  этоОТВЕТрентабельность продаж
	 Цены на продукты АВС составляют соответственно   и  руб себестоимость –   и  руб Какой из продуктов выгоднее производитьОТВЕТ    А 
	 При расчете налогооблагаемой прибыли в себестоимость нельзя включатьОТВЕТзатраты на приобретение лицензии
	 Какой из перечисленных вариантов ответов правильно характеризует точку безубыточностиОТВЕТобъем производства при котором производитель работает без убытков
	 Определить точку безубыточности по выпуску продукции со следующими параметрамиОТВЕТ
	 ОТВЕТ
	 ПРООТВЕТналог на прибыль
	 Прибыль характеризуетОТВЕТэкономический эффект полученный в результате деятельности предприятия верно
	 Оптовая цена предприятияОТВЕТменьше розничной цены 
	 Какие из предложенных вариантов правильно характеризуют прибыль от реализации продукцииОТВЕТразность между выручкой от реализации продукции и полной себестоимостью
	 Валовая прибыль предприятия  тыс руб прибыль от внереализационных операций  тыс Руб прибыль от реализации материальных ценностей  тысруб Прибыль от реализации продукции равнаОТВЕТ
	 В расчете экономической эффективности участвуют показателиОТВЕТрезультата и затрат на его достижение
	 Начисленные дивиденды акционерам платятсяОТВЕТиз чистой прибыли
	  неделяОТВЕТ
	 В соответствии с законом спроса при увеличении цены товара 
ОТВЕТснижается величина спроса на данный товар 
	 Для установления цены при методе целевой прибыли необходимо знатьОТВЕТСебестоимость с разделением на переменные и постоянные затраты
	 Желание и возможность потребителя купить товар и услугу в определенное время и в конкретном месте  этоОТВЕТСпрос
	 Метод удельной цены основан на использовании… 
ОТВЕТглавного параметра товара 
	 При каком значении коэффициента ценовой эластичности спроса спрос является неэластичныОТВЕТ
	 Количество товаров которое продавцы могут и желают предложить покупателю в определенное время и в конкретном месте – это …ОТВЕТпредложение
	 Определите продажную цену изделия в магазине если известны следующие основные данные Себестоимость изделия составляет  руб Для обеспечения устойчивого финансового положения производитель назначает наценку в  для оптового посредника Оптовый посредник назначает наценку в сумме  руб а конечный потребитель уплачивает розничному торговцу еще  от конечной продажной цены товараОТВЕТ верно
	 Определите цену нового изделия если известно что заработная плата основных производственных рабочих составляет  руб а удельный вес заработной платы в полной себестоимости составляет  Норма рентабельности затрат принята на уровне ОТВЕТ
	 Определите цену нового изделия если известно что заработная плата основных производственных рабочих составляет  руб а удельный вес заработной платы в полной себестоимости составляет  Норма рентабельности затрат принята на уровне ОТВЕТ
	 Определите цену нового изделия если известно что заработная плата основных производственных рабочих составляет  руб а удельный вес заработной платы в полной себестоимости составляет  Норма рентабельности затрат принята на уровне ОТВЕТОпределите цену нового изделия если известно что заработная плата основных производственных рабочих составляет  руб а удельный вес заработной платы в полной себестоимости составляет  Норма рентабельности затрат принята на уровне 
	 Определите цену нового изделия если известно что заработная плата основных производственных рабочих составляет  руб а удельный вес заработной платы в полной себестоимости составляет  Норма рентабельности затрат принята на уровне ОТВЕТменьше розничной цены
	 Параметрическим методом ценообразования являетсяОТВЕТагрегатный метод 
	 Себестоимость единицы продукции составляет   руб рентабельность затрат  Определить цену товара и прибыль с единицы изделияОТВЕТ 
	 Себестоимость единицы продукции составляет  руб рентабельность затрат  Определить цену товара и прибыль с единицы изделияОТВЕТ 
	 Себестоимость единицы продукции составляет  руб прибыльность к цене  Определить цену товара и прибыль с единицы изделияОТВЕТ 
	 Базовая комплектующая имеет цену  руб Экспертная оценка основных параметров базовой детали  баллов а новой –  балла Определить цену новой комплектующей используя ценовой метод балловОТВЕТ
	 Цена будет заниженной если при такой ценеОТВЕТмаржинальная прибыль меньше нуля
	 Данный показатель отражает реакцию величины спроса в ответ на изменение цены и определяет на сколько процентов изменится величина спроса при изменении цены на  выберите правильный ответОТВЕТметод определения цены на основе экономической ценности товара
	 Себестоимость единицы продукции составляет  руб прибыльность к цене  Определить цену товара и прибыль с единицы изделияОТВЕТ 
	 Содержание рыночных методой ценообразования в отличие от затратных и параметрических методов состоит в том что ониОТВЕТориентируются либо на потребителя либо на конкурентов
	 Желание и возможность потребителя купить товар или услугу в определенное время и в конкретном месте – этоОТВЕТ
	 Определите цену нового изделия если известно что заработная плата основных производственных рабочих составляет  руб а удельный вес заработной платы в полной себестоимости составляет  Норма рентабельности затрат принята на уровне ОТВЕТ
	 Определите цену единицы продукции используя метод полных затрат если известно что себестоимость единицы продукции составляет  руб рентабельность затрат ОТВЕТ
	 Базовая комплектующая имеет цену  руб Экспертная оценка основных параметров базовой детали  баллов а новой –  балла Определить цену новой комплектующей используя ценовой метод балловОТВЕТ
	 Себестоимость единицы продукции составляет  руб рентабельность затрат  Определить цену товара и прибыль с единицы изделияОТВЕТ 
	 Определите продажную цену изделия в магазине если известны следующие основные данные Себестоимость изделия составляет  руб Для обеспечения устойчивого финансового положения производитель назначает наценку в  для оптового посредника Оптовый посредник назначает наценку в сумме  руб а конечный потребитель уплачивает розничному торговцу еще  от конечной продажной цены товараОТВЕТ
	  неделяОТВЕТ
	 ОТВЕТ
	 Выражение целей компании на широкий круг пользователей с учетом социальной составляющей этоОТВЕТПолучение распоряжений и отчет только перед одним непосредственным начальником – это принцип управления по Файолю
	 Контроль – этоОТВЕТОтслеживание и корректировка выполняемых работ
	 К среднему уровню управления относятся   Президент   Начальник отдела   Вицепрезидент   Бригадир   Управляющий отделом   Мастер машинного цехаОТВЕТ и 
	 Получение распоряжений и отчет только перед одним непосредственным начальником – это принцип управления по ФайолюОТВЕТЕдиноначалия
	 То как конкретное подразделение будет способствовать достижению стратегических целей предприятия выражается вОТВЕТфункциональной стратегии
	 ВАНИЕОТВЕТ
	 Подход основанный на комплексном всестороннем рассмотрении управления называетсяОТВЕТСистемным
	 ОТВЕТОтветственность за формирование функциональной стратегии возлагается на
	 Решение о том что в рамках корпорации производственное подразделение будет конкурировать на рынке за счет высокого уровня обслуживания потребителей это вариантОТВЕТМетод расчета внутренней нормы доходности инвестиций – это…
	 Решение о том что в рамках корпорации производственное подразделение будет конкурировать на рынке за счет высокого уровня обслуживания потребителей это вариантОТВЕТбизнес стратегии 
	 Разработка производственных программ цехов по номенклатуре на месяцОТВЕТМежцехового объемного планирования
	 Предприятие принимает решение конкурировать на рынке по издержкам это вариантОТВЕТБизнес стратегии
	 Планирование организация мотивация и контроль – этоОТВЕТФункции управления
	 То как конкретное подразделение будет способствовать достижению стратегических целей предприятия выражается вОТВЕТфункциональной стратегии
	 Главная цель управления обязательно связана сОТВЕТПовышение эффективности работы предприятия
	 Кто из руководства предприятия должен присутствовать при разработке годового плана продаж и операцийОТВЕТвсе вышеперечисленные
	 Стратегическое планированиеОТВЕТВсе вышеперечисленное 
	 Факторы конкурентоспособности по продукту при построении бизнес стратегии компанииОТВЕТИздержки
	 Может ли у компании отсутствовать корпоративная стратегияОТВЕТДа так как предприятие может функционировать на одном рынке и тогда корпоративная стратегия будет сводится к бизнес стратегии
	 Функции оперативного управленияОТВЕТОперативное планирование организация мотивация контрол
	 Метод расчета внутренней нормы доходности инвестиций – это…ОТВЕТ и 
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	  неделяОТВЕТ
	 Рассчитайте простую норму прибыли за срок реализации проекта если известно что чистая прибыль получаемая в результате реализации инвестиционного проекта составит  млн руб инвестиционные затраты –  млн руб Срок реализации проекта  летОТВЕТ
	 К показателям учитывающим дисконтирование не относитсяОТВЕТпростой  
	 Инвестиционный проект – этоОТВЕТсистема организационноправовых и расчетнофинансовых документов содержащих программу действий направленных на эффективное использование инвестиций верно
	 метод дисконтированияОТВЕТв приведении разновременных доходов и расходов к единому моменту времени
	 Ставка дисконтирования учитывает отметьте самый точный вариантОТВЕТтемп инфляции минимальную доходность и степень риска
	 Проект развития бизнеса неприемлем еслиОТВЕТ отрицательна а  меньше базовой ставки дисконтирования
	 Наращение компаудинг – этоОТВЕТприведение денежных потоков к моменту времени в будущем
	 Рассчитайте простую норму прибыли за срок реализации проекта если известно что чистая прибыль получаемая в результате реализации инвестиционного проекта составит  млн руб инвестиционные затраты –  млн руб Срок реализации проекта  летОТВЕТ
	 Определите чистую текущую стоимость проекта если известно что чистый дисконтированный денежный поток получаемый в результате реализации инвестиционного проекта составит  млн руб инвестиционные затраты –  млн руб Срок реализации проекта  лет ставка дисконтирования ОТВЕТ
	 Какой показатель эффективности отражает сколько рублей прибыли инвестор получит на каждый рубль вложенных средствОТВЕТрентабельность инвестиций
	 Ставка дисконтирования учитывает отметьте самый точный вариантОТВЕТтемп инфляции минимальную доходность и степень риска
	 Инвестиции называются косвенными еслиОТВЕТони осуществляются через финансовых посредников аккумулирующих и размещающих по своему усмотрению финансовые средства наиболее эффективным образом верно
	 Техническое перевооружение – это…ОТВЕТзамена старой производственной техники и технологии на новую с более высокими техникоэкономическими показателями без расширения производственной площади верно
	 Проект развития бизнеса считается приемлемым еслиОТВЕТ положительна а  больше базовой ставки дисконтирования
	 Для выбора наиболее эффективного варианта капитальных вложений при разновременных показателях их объема используется методОТВЕТдисконтирования
	 Итоговый денежный поток инвестиционного проекта – этоОТВЕТвсе притоки денежных средств ДС за вычетом всех оттоков ДС
	 Показателем оценки эффективности инвестиционного проекта являетсяОТВЕТсрок окупаемости
	 По методу чистого дисконтированного дохода рассчитываютОТВЕТразницу между суммой дисконтированных чистых поступлений и инвестиционных затрат
	 Внутренняя норма доходности – этоОТВЕТвсё вышеперечисленное
	 Метод расчета внутренней нормы доходности инвестиций – это…ОТВЕТметод позволяющий найти ставку дисконтирования при которой чистая текущая стоимость проекта обращается в ноль
	 Какой показатель не относится к показателям эффективности инвестиционного проектаОТВЕТнорма амортизации
	 Что нельзя назвать источником финансирования капитальных вложенийОТВЕТсебестоимость продукции
	 Инвестиции – это…ОТВЕТвложение средств с целью получения дохода
	 Суть метода дисконтирования заключаетсяОТВЕТв приведении разновременных доходов и расходов к единому моменту времени
	 Чистый денежный поток – это…ОТВЕТсреди указанных ответов нет абсолютно точного верно
	 Метод расчета чистой текущей стоимости инвестиционного проекта – это по своей сути…ОТВЕТоценка экономического эффекта от вложения инвестиций с приведением к настоящему моменту времени с учётом временно́й стоимости денег 
	 Определите чистую текущую стоимость проекта если известно что чистый дисконтированный денежный поток получаемый в результате реализации инвестиционного проекта составит  млн руб инвестиционные затраты –  млн руб Срок реализации проекта  лет ставка дисконтирования ОТВЕТ
	 Расширение производства – это…ОТВЕТувеличение объема производства путем строительства новых цехов и организации новых подразделений
	 В каком случае считается эффективнымОТВЕТ
	 тепень и вид профессиональной подготовки наличие у работника знаний умения и навыков необходимых для выполнения работы и функций определенной сложности 
 
ОТВЕТквалификация
	 Соотношение различных категорий работников в их общей численности характеризуетОТВЕТструктуру персонала предприятия
	 Замена морально устаревших и физически изношенных машин и оборудования а также совершенствование и перестройка зданий и сооружений – этоОТВЕТреконструкция
	 Отметьте правильный вариант продолжения фразы «Необходимым условием коммерческой привлекательности проекта является…»ОТВЕТприемлемые значения показателей эффективности инвестиций учитывающие фактор времени и риска
	 ОТВЕТ
	 Каково должно быть значение индекса доходности чтобы проект считался эффективнымОТВЕТ
	 Предприятие принимает решение конкурировать на рынке по издержкам это вариантОТВЕТБизнес стратегии верно
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 ОТВЕТ
	 Дополнительные вопросыответыОТВЕТ
	 Инвестиционный проект приемлем еслиОТВЕТ  неотр    больше ставки дисконтирования
	 Стратегическое планированиеОТВЕТвсе выше перечисленное
	 Планироание организация мотивация и контрольОТВЕТФункции управления
	 Подход основаный на комплексномвсестороннем рассмотрении управления называетсяОТВЕТСистемным
	 Значение внутренней нормы доходности инвестиционного проекта может быть получено с помощью уравнения в котором ОТВЕТчистая текущая стоимость проекта приравнивается к нулю
	 Освоение и выпуск новой продукции  это ОТВЕТразарботка документации подготовка производства и запуск принципиально новых изделий 
	 Факторы конкурентоспособности по продукту при построении бизнес стратегии компанииОТВЕТиздержки
	 ОТВЕТСроки хозяйствующие субъекты и уровень детадизации
	 Валовый доход предприятия  этоОТВЕТвыручка полученная в результате всей деятельности фирмы за определенный период времени
	 Объемное планирование календарное планирование оперативное регулирование  это стадииОТВЕТОперативнопроизводстенного планирования
	 Тейлор Гилберты Гант являются представителямиОТВЕТНаучного управления
	 Этичные покупатели  это ОТВЕТпо сложившейся традиции поддерживают своими покупками конкретные фирмы
	 Маржа безопасности  этоОТВЕТзапас финансовой прочности выраж В нат Единицах
	 Что из перечисленного НЕ относитс к списочной численностиОТВЕТработники по договорам подряда учащиеся и приходящие практику
	 От чего зависит равновесная ценаотметить один наиболее важный пунктОТВЕТот равенства спроса и предложения
	 Ценовая политика предпрития в условиях рынка  этоотметить наиболее полны ответОТВЕТуправление ценами на производимые тоывары для достижения целей предприятия
	 К фондам обращения принадлежатОТВЕТготоая продукция и денежные средства предприятия
	 Если известно что период оборота оборотных средств предприятия снизился с  до ОТВЕТоборотные средства стали исп эффективнее
	 ОТВЕТ
	 Утрата стоимости вследствие снижения стоимости воспроизводства аналогичных средств обусловленных совершенствованем технологии…ОТВЕТморальный износ оф
	 К рыночным методам ценообразования относятОТВЕТметод определения цены на основе опроса экспертов и их самооценок 
	 Ставка дисконтирования должна учитывать отметь избыточный пунктОТВЕТпроцентную ставку дивидендов 
	 Ценовая стратегия краткосрочной максимизации прибыли обычно подразумевает ОТВЕТналичие источников инвестиций для развития бизнеса 
	 ОТВЕТразность между суммарным продуктом и суммарными затратами 
	 К косвенным методам государственного регулирования цен относятся ОТВЕТльготное налогообложение 
	 То как конкретное подразделение будет способствовать достижению стратегических целей предприятия выражается вОТВЕТФункциональной стратегии 
	 Можно ли отношение прибыли к величине собственного капитала считать показателем рентабельности ОТВЕТда так как по такому же принципу рассчитываются все показатели рентабельности 
	 цеховая себестоимость выражает затраты конкретного цеха на изготовление продукцииОТВЕТ
	 ОТВЕТМежцехового объмного планирования 
	 Интегральный экономический эффект этоОТВЕТразность между суммарным продуктом и суммарными затратами
	 То как конкретное подразделение будет способствовать достижению стратегических целей предприятия выражается вОТВЕТфункциональной стратегии
	 Равновесная цена наступает при равенствеОТВЕТспроса на товар и его предложения
	 Бюджет рабочего времениОТВЕТсоставляется на основе данных статистической и бухгалтерской отчетности предприятия
	 Выручка предприятия этоОТВЕТсумма полученная от продажи основной продукции предприятия
	 Какой показатель не относится к показателям эффективности инвестицийОТВЕТфондоотдача
	 Фраза «цена позволяет варьировать доходы и определять их доли между отраслями» имеет отношение к следующей функции ценыОТВЕТраспределительная
	 При принятии решения в области цен наименьшую значимость имеетОТВЕТразнообразие форм финансирования бизнеса
	 Коммерческая организациясозданная путем добровольного объединения граждан на основеОТВЕТпроизводственный кооператив
	  ОТВЕТцена реализации меняется в зависимости от объема продаж
	 Какие доходы учитываются при определении выручки от реализации продукцииОТВЕТпоступления за произведенную продукцию выполненную работу и оказанные услуги
	 Новое строительство этоОТВЕТсоздание производственных мощностей для освоения новой техники с нулевого цикла
	 Простая норма прибыли  этоОТВЕТотношение чистой прибыли к полным инвестиционным затратам за период
	 Трудоемкость  Объем произведенной продукцииОТВЕТзатраты рабочего времени на производство
	 Формула сложного процента  это формула по которойОТВЕТРассчитывается итоговая сумма дохода с учетом так называемой капитализации
	 Разработка производственных программ цехов по номенклатуре на месяц это примерОТВЕТМежцехового объемного планирования
	 Годовой экономический эффект  этоОТВЕТРазность между годовым продуктом и годовыми затратами
	 Что не относится к прямым методам государственного регулирования ценОТВЕТИспользование методов планового ценообразования
	 По значению итогового результата хозяйственная прибыль подразделяется на такой вид какОТВЕТНормальная прибыль
	  ОТВЕТСнижает себестоимость пропорционально собственной величине
	 К какому виду затрат относится налог на имущество организацииОТВЕТИздержки
	 Имеет место дефицит мощностей еслиОТВЕТСпрос объем заказов превышает мощность
	 Какая из перечисленных характеристик неверна по отношению к такой форме предпринимательской деятельности как индивидуальный предпринимательОТВЕТРегистрация производится по месту нахождения организации бизнеса
	 При каком способе амортизационных отчислений применяется коэффициент ускоренияОТВЕТСпособе уменьшаемого остатка
	 К параметрическим методам ценообразования относятОТВЕТБалловый метод
	 ОТВЕТЕдиноначалия
	 Реконструкция  это отметить ошибочный пунктОТВЕТмероприятия связанные с совершенствованием и перестройкой зданий и сооружений 
	 Ставка дисконтирования должна учитывать отметьте избыточный пунктОТВЕТСтепень риска инвестирования
	 цели деятельности предприятия устанавливаютсяОТВЕТсобственником
	 персонифицированные покупателиОТВЕТэто покупатели которые чутко реагируют на характеристики товара приближающие или удаляющие их от идеала
	 Можно ли отношение прибыли к величине собственного капитала считать показателем рентабельностиОТВЕТ
	 при использовании сценарного подхода к анализу рисковОТВЕТоценивается коммерческая привлекательность проекта для различных вариантов его реализации
	 что из перечисленного ниже соответствует понятию сетевая структураОТВЕТкооперационные соглашения объединяющие как правило малые и средние компании в процесс создания товара или услуги на основе системы контрактов
	 суть метода определения цены на основе теста цена  готовность купитьОТВЕТзаключается в том что разрабатывается анкета в которой предлагается вопрос о максимальной возможной цене
	 Спрос на товар является эластичным по цене еслиОТВЕТпроцентное изменение количества спрашиваемого товара превышает процентное изменение цены товара
	 В отличие от прямых инвестиций портфельные инвестиции подразумевают ОТВЕТпассивное участие инвестора в управлении предприятием
	 ДисконтированиеОТВЕТприведение будущих денежных потоков к текущему периоду
	 Наиболее распространненный способ определения эффективностиОТВЕТразности между величиной выручки и чистой прибыли
	 Показатель рентабельности собственного капитала показываетОТВЕТкакую прибыль получает предприятие с каждого рубля собственных средств
	 Что из перечисленного не соответствует организационноправовой форме производственный кооперативОТВЕТприбыль кооператива распередляется между членами в соответствии с величиной паевого взноса
	 Какая зависимость между ценой и спросом ОТВЕТОбратно пропорциональная
	 Затраты труда вспомогательных рабочих учитываются ОТВЕТв производственной и в полной трудоемкости
	 К накладным расходам вероятнее всего будут относитьсяОТВЕТрасходы по аренде помещений
	 Производственный процесс называется аналитическим когда ОТВЕТиз одного вида сырья и материалов получают несколько готовых продуктов
	 Какие доходы учитываются при определении выручки от прочей реализацииОТВЕТденежные средства от реализации на сторону принадлежащего предприятию имущества
